venue,course,win_rate,place_top3_rate,race_count
桐生,1,0.516468862515002,0.7910388051740233,7499
桐生,2,0.12414988665155353,0.5450060008001066,7499
桐生,3,0.12841712228297106,0.5462061608214429,7499
桐生,4,0.1314841978930524,0.4831310841445526,7499
桐生,5,0.07854380584077877,0.4161888251766902,7499
桐生,6,0.02093612481664222,0.21842912388318442,7499
戸田,1,0.436780087382497,0.729776247848537,7553
戸田,2,0.16602674433999734,0.5810936051899908,7553
戸田,3,0.1586124718654839,0.5392559247980935,7553
戸田,4,0.14219515424334703,0.5048325168807096,7553
戸田,5,0.07202436118098769,0.40142989540579904,7553
戸田,6,0.02436118098768701,0.24361180987687012,7553
江戸川,1,0.47865807997603715,0.7841845140032949,6677
江戸川,2,0.17403025310768308,0.5902351355399131,6677
江戸川,3,0.1416803953871499,0.5376666167440467,6677
江戸川,4,0.11801707353601917,0.44720682941440765,6677
江戸川,5,0.06440017972143178,0.37337127452448704,6677
江戸川,6,0.023214018271678898,0.26733562977385056,6677
平和島,1,0.4524121848127095,0.7571782538988485,6861
平和島,2,0.16630228829616675,0.5854831657192829,6861
平和島,3,0.14677160763737065,0.520186561725696,6861
平和島,4,0.12869844046057427,0.49468007579070106,6861
平和島,5,0.07433318758198514,0.3758927270077248,6861
平和島,6,0.031482291211193704,0.2665792158577467,6861
多摩川,1,0.5372496662216288,0.7987983978638185,7490
多摩川,2,0.1459279038718291,0.577570093457944,7490
多摩川,3,0.1260347129506008,0.534712950600801,7490
多摩川,4,0.10867823765020027,0.4711615487316422,7490
多摩川,5,0.06288384512683579,0.3829105473965287,7490
多摩川,6,0.01922563417890521,0.2348464619492657,7490
浜名湖,1,0.5270629991126885,0.7964254024591203,7889
浜名湖,2,0.13994169096209913,0.5694004309798454,7889
浜名湖,3,0.14387121308150588,0.5568513119533528,7889
浜名湖,4,0.10546330333375586,0.4714158955507669,7889
浜名湖,5,0.06756242869818735,0.4008112561794904,7889
浜名湖,6,0.016098364811763216,0.20509570287742426,7889
蒲郡,1,0.5684183476808429,0.8229474495695747,7783
蒲郡,2,0.11448027752794553,0.5492740588462033,7783
蒲郡,3,0.12411666452524733,0.5486316330463832,7783
蒲郡,4,0.11987665424643454,0.5171527688551972,7783
蒲郡,5,0.055891044584350506,0.37594757805473467,7783
蒲郡,6,0.017217011435179237,0.18604651162790697,7783
常滑,1,0.5839675291730086,0.8318112633181126,7884
常滑,2,0.12113140537798071,0.5596144089294774,7884
常滑,3,0.10375443937087772,0.5208016235413496,7884
常滑,4,0.1095890410958904,0.48985286656519533,7884
常滑,5,0.06354642313546423,0.3845763571790969,7884
常滑,6,0.018011161846778284,0.21334348046676813,7884
津,1,0.5697357668210297,0.832062108417325,7342
津,2,0.13647507491146826,0.5896213565785889,7342
津,3,0.11577226913647508,0.5306456006537729,7342
