racer_no,date,races_prior,win_rate_prior,place_rate_prior,avg_st_prior,std_st_prior,recent5_races_prior,recent5_place_rate_prior,course1_races_prior,course1_place_rate_prior,course1_avg_st_prior,course2_races_prior,course2_place_rate_prior,course2_avg_st_prior,course3_races_prior,course3_place_rate_prior,course3_avg_st_prior,course4_races_prior,course4_place_rate_prior,course4_avg_st_prior,course5_races_prior,course5_place_rate_prior,course5_avg_st_prior,course6_races_prior,course6_place_rate_prior,course6_avg_st_prior
2014,20250227,325,0.0646153846153846,0.3384615384615385,0.1864506172839506,0.0780316928703431,5.0,0.2,57.0,0.5964912280701754,0.1540350877192982,49.0,0.3877551020408163,0.186734693877551,58.0,0.2586206896551724,0.1856140350877193,52.0,0.3461538461538461,0.1794230769230769,65.0,0.2307692307692307,0.1930769230769231,44.0,0.2045454545454545,0.2277272727272727
2538,20260802,616,0.0259740259740259,0.2597402597402597,0.2047222222222222,0.0889412376490166,5.0,0.0,94.0,0.4468085106382978,0.1960869565217391,121.0,0.2975206611570248,0.1945833333333333,122.0,0.2622950819672131,0.2160655737704918,113.0,0.2389380530973451,0.2005357142857143,102.0,0.1568627450980392,0.2024509803921568,64.0,0.109375,0.22546875
2878,20260727,815,0.1374233128834356,0.558282208588957,0.1780981595092024,0.0721429404837595,5.0,0.2,161.0,0.8198757763975155,0.1731055900621118,148.0,0.6756756756756757,0.1709459459459459,143.0,0.5104895104895105,0.1839160839160839,158.0,0.5822784810126582,0.1755696202531645,130.0,0.3384615384615385,0.1778461538461538,75.0,0.1866666666666666,0.1976
2903,20231029,117,0.0512820512820512,0.4102564102564102,0.1831623931623931,0.0800816845012851,5.0,0.2,14.0,0.5,0.1864285714285714,38.0,0.4736842105263157,0.175,25.0,0.52,0.1592,25.0,0.24,0.2012,13.0,0.2307692307692307,0.1915384615384615,2.0,0.5,0.3349999999999999
2930,20240425,117,0.1111111111111111,0.452991452991453,0.2032758620689655,0.0734585956810314,5.0,0.2,19.0,0.8421052631578947,0.2089473684210526,28.0,0.5357142857142857,0.1975,28.0,0.5357142857142857,0.1721428571428571,17.0,0.2941176470588235,0.230625,14.0,0.1428571428571428,0.2021428571428571,11.0,0.0,0.2490909090909091
3022,20231225,112,0.1428571428571428,0.5178571428571429,0.1534234234234234,0.0665967493118906,5.0,0.4,17.0,0.8823529411764706,0.1494117647058823,19.0,0.631578947368421,0.1589473684210526,22.0,0.4545454545454545,0.129047619047619,23.0,0.5652173913043478,0.1413043478260869,20.0,0.2,0.1695,11.0,0.3636363636363636,0.1927272727272727
3024,20260425,817,0.2949816401468788,0.6768665850673194,0.1609302325581395,0.0712237241227535,5.0,0.4,279.0,0.7992831541218638,0.1606093189964157,499.0,0.6192384769539078,0.1606613226452906,29.0,0.4827586206896552,0.1706896551724138,5.0,0.8,0.152,3.0,1.0,0.1866666666666666,2.0,0.0,0.1149999999999999
3044,20240408,183,0.0546448087431694,0.3989071038251366,0.1808333333333333,0.0574347455813987,5.0,0.8,28.0,0.6785714285714286,0.2028571428571428,35.0,0.4571428571428571,0.18,28.0,0.2857142857142857,0.1842857142857143,31.0,0.4838709677419355,0.1699999999999999,36.0,0.2222222222222222,0.1688571428571428,25.0,0.28,0.1832
3054,20260805,538,0.1951672862453531,0.5260223048327137,0.1733333333333333,0.0716594123910697,5.0,0.8,103.0,0.8058252427184466,0.1744117647058823,89.0,0.6404494382022472,0.1678651685393258,89.0,0.5955056179775281,0.1640449438202247,93.0,0.4623655913978494,0.1716129032258064,92.0,0.358695652173913,0.176195652173913,72.0,0.1944444444444444,0.1886111111111111
3065,20241012,275,0.04,0.3236363636363636,0.2066788321167883,0.0947273794276743,5.0,0.4,38.0,0.5,0.1963157894736842,53.0,0.3773584905660377,0.1971698113207547,46.0,0.3043478260869565,0.1934782608695652,51.0,0.2941176470588235,0.2007843137254902,49.0,0.2040816326530612,0.2153061224489796,38.0,0.2894736842105263,0.244054054054054
