iter	Passed	Remaining
401	13731	10178
402	13770	10148
403	13806	10115
404	13844	10084
405	13878	10050
406	13922	10022
407	13958	9990
408	13995	9957
409	14029	9923
410	14068	9892
411	14104	9859
412	14140	9826
413	14175	9792
414	14211	9760
415	14251	9729
416	14287	9696
417	14325	9664
418	14362	9632
419	14401	9600
420	14435	9566
421	14471	9533
422	14507	9500
423	14541	9465
424	14577	9432
425	14611	9397
426	14647	9365
427	14683	9331
428	14719	9298
429	14755	9265
430	14799	9236
431	14838	9205
432	14870	9169
433	14906	9136
434	14943	9103
435	14979	9069
436	15015	9036
437	15053	9004
438	15091	8972
439	15124	8937
440	15161	8904
441	15199	8871
442	15234	8837
443	15269	8803
444	15308	8772
445	15350	8742
446	15388	8710
447	15427	8678
448	15464	8645
449	15500	8611
450	15537	8578
451	15571	8543
452	15606	8509
453	15642	8476
454	15681	8443
455	15716	8409
456	15754	8377
457	15790	8343
458	15826	8309
459	15863	8276
460	15900	8243
461	15937	8210
462	15974	8177
463	16012	8144
464	16049	8111
465	16084	8076
466	16120	8043
467	16159	8010
468	16196	7977
469	16230	7942
470	16272	7911
471	16307	7877
472	16345	7844
473	16383	7811
474	16420	7778
475	16461	7746
476	16499	7713
477	16532	7678
478	16574	7646
479	16610	7613
480	16649	7580
481	16686	7547
482	16723	7513
483	16760	7479
484	16797	7446
485	16831	7411
486	16867	7377
487	16906	7344
488	16939	7309
489	16976	7275
490	17014	7242
491	17050	7208
492	17088	7175
493	17123	7140
494	17162	7107
495	17197	7073
496	17234	7039
497	17269	7005
498	17305	6970
499	17345	6938
500	17380	6903
501	17418	6870
502	17458	6837
503	17493	6803
504	17527	6768
505	17565	6734
506	17601	6700
507	17638	6666
508	17670	6630
509	17705	6596
510	17742	6562
511	17776	6527
512	17814	6493
513	17851	6459
514	17886	6425
515	17919	6389
516	17954	6355
517	17994	6322
518	18029	6287
519	18068	6254
520	18106	6220
521	18143	6186
522	18179	6152
523	18214	6117
524	18248	6082
525	18287	6049
526	18325	6015
527	18363	5982
528	18398	5947
529	18433	5912
530	18468	5877
531	18505	5843
532	18540	5809
533	18577	5774
534	18613	5740
535	18649	5706
536	18686	5671
537	18726	5638
538	18767	5605
539	18806	5572
540	18841	5537
541	18875	5502
542	18912	5468
543	18944	5432
544	18983	5398
545	19018	5364
546	19057	5330
547	19094	5296
548	19135	5263
549	19170	5228
550	19207	5193
551	19240	5158
552	19275	5123
553	19308	5088
554	19346	5054
555	19382	5019
556	19416	4984
557	19453	4950
