iter	Logloss
276	0.3307819512
277	0.3304262957
278	0.3299984566
279	0.3292657634
280	0.3290798119
281	0.3285296608
282	0.3278639135
283	0.3275469452
284	0.3269207428
285	0.3263902738
286	0.3257781524
287	0.32538193
288	0.3251364623
289	0.3245958201
290	0.3239726658
291	0.3237707717
292	0.3230985541
293	0.3228127627
294	0.3218316058
295	0.3212917136
296	0.3209250937
297	0.3199594966
298	0.319068281
299	0.3180333012
300	0.3170640324
301	0.3163874244
302	0.3159499437
303	0.3156396488
304	0.3150246391
305	0.3144863045
306	0.3139484126
307	0.3134043581
308	0.3125841609
309	0.3118967678
310	0.3112695028
311	0.3108491774
312	0.310133395
313	0.3093554319
314	0.3087993491
315	0.3084503751
316	0.3075751133
317	0.3070950404
318	0.3065751993
319	0.3060445229
320	0.3053985442
321	0.3051019828
322	0.3044502164
323	0.303905674
324	0.3034737931
325	0.3028023281
326	0.3021042865
327	0.3015029497
328	0.3009618484
329	0.3003565221
330	0.299851077
331	0.2994550404
332	0.2989467242
333	0.2984089449
334	0.2977382469
335	0.2972383407
336	0.2967455711
337	0.2960994626
338	0.2954896977
339	0.2948857404
340	0.2941632827
341	0.293608156
342	0.2930934909
343	0.2924007898
344	0.2916796435
345	0.2909639283
346	0.2904928011
347	0.2898241648
348	0.2894749239
349	0.2888928975
350	0.28836879
351	0.2876859829
352	0.2871039188
353	0.2861484605
354	0.2855106118
355	0.2849138756
356	0.2839936359
357	0.2835201075
358	0.2828101693
359	0.2821509044
360	0.2813268407
361	0.2808447659
362	0.28003922
363	0.2792357743
364	0.2784511777
365	0.2780229982
366	0.2775039015
367	0.2768302603
368	0.2761475298
369	0.2752552717
370	0.2746203946
371	0.2739551295
372	0.2730990007
373	0.2724311058
374	0.2717487741
375	0.2713590498
376	0.2708443151
377	0.2702311514
378	0.2693057338
379	0.2686658298
380	0.2681061472
381	0.2673143515
382	0.2667420373
383	0.2661161235
384	0.265533028
385	0.2649333273
386	0.2641406555
387	0.2636099283
388	0.2630004186
389	0.2623864157
390	0.261844502
391	0.2614085614
392	0.260771362
393	0.2602680093
394	0.2594111023
395	0.2588645972
396	0.2582363311
397	0.2576645117
398	0.2569114617
399	0.2562486423
400	0.2557058039
401	0.2550685256
402	0.2544797136
403	0.2539782963
404	0.2531215066
405	0.2525997815
406	0.2519619622
407	0.2514252396
408	0.2507919632
409	0.2503140794
410	0.249829802
411	0.2493477951
412	0.2486779775
413	0.2481574647
414	0.2474774104
415	0.2466990515
416	0.2460835176
417	0.2455614722
418	0.2451267871
419	0.2445377951
420	0.2442731257
421	0.243739163
422	0.243277031
423	0.2429658541
424	0.242521623
425	0.2420553514
426	0.2413591434
427	0.240859728
428	0.2404135267
429	0.2398721369
430	0.2392017279
431	0.2383273687
432	0.2378795768
433	0.2373826944
434	0.2369318969
435	0.2364378818
436	0.2358173507
437	0.2352612315
438	0.2346188574
439	0.2343399547
440	0.233812693
441	0.2331618013
442	0.2327195281
443	0.2321525947
444	0.2317164818
445	0.2307921938
446	0.2303597801
447	0.2297297685
448	0.2292447576
449	0.2286767226
450	0.2281799199
451	0.2277013521
452	0.2272211823
453	0.2266836797
454	0.2260406632
455	0.2257299554
456	0.2251294527
457	0.2246640249
458	0.2242212912
459	0.2236851899
460	0.2230282675
461	0.2226287262
462	0.2220509093
463	0.2216260053
464	0.2211965573
465	0.2206265439
466	0.2201819408
467	0.2197283947
468	0.2192882971
469	0.2188877767
470	0.2183361747
471	0.2179364318
472	0.2173246519
473	0.2167221373
474	0.2162329332
475	0.215885562
476	0.2154271541
477	0.2151138503
478	0.214522341
479	0.2139643359
480	0.2133339013
481	0.2129107744
482	0.2124688567
483	0.2120936024
484	0.2116156434
485	0.2112136137
486	0.2107440518
487	0.210224261
488	0.2098214648
489	0.2093297156
490	0.2088341849
491	0.2085034783
492	0.2081328017
493	0.2077109304
494	0.2071972635
495	0.2067011072
496	0.2062539177
497	0.2059341221
498	0.2054470137
499	0.2050561804
500	0.20454077
501	0.2041115858
502	0.203609677
503	0.2029742988
504	0.2024817888
505	0.2018004013
506	0.2014563846
507	0.2009280708
508	0.2006326176
509	0.200158303
510	0.1997762816
511	0.1994891725
512	0.1991239701
513	0.1987504856
514	0.1984093742
515	0.1981380929
516	0.1976644677
517	0.1971071846
518	0.196722077
519	0.1962291695
520	0.195714443
521	0.1953368825
522	0.1949713103
523	0.1946501914
524	0.1943038177
525	0.1938696535
526	0.1934702883
527	0.1928774021
528	0.1925388144
529	0.1921917283
530	0.1918016976
531	0.1912820728
532	0.1909235754
533	0.1906434909
534	0.1903032933
535	0.1899102918
536	0.1895045689
537	0.1890733241
538	0.1884977033
539	0.1879808397
540	0.1876705789
541	0.1873455435
542	0.1869610946
543	0.1866354506
544	0.1861654586
545	0.1856862701
546	0.1851702377
547	0.1847451978
548	0.1843198023
549	0.1839657201
550	0.1836670279
551	0.1833174733
552	0.182885863
553	0.182639897
554	0.1822870927
555	0.1819474946
556	0.1816756942
557	0.181224734
558	0.180795423
559	0.180467048
560	0.1801045038
561	0.1796687756
562	0.1793571685
563	0.1790157136
564	0.1787377499
565	0.1785052841
566	0.178218152
567	0.177820279
568	0.1775070272
569	0.177001367
570	0.176427833
571	0.1759990066
572	0.175670669
573	0.1754070359
574	0.1751305079
575	0.1749193322
576	0.1745711834
577	0.1742708663
578	0.173745319
579	0.173447313
580	0.1730824867
581	0.1726028598
582	0.1721960222
583	0.171725109
584	0.1714623201
585	0.171176804
586	0.1708600832
587	0.1705505478
588	0.1702702912
589	0.1700657084
590	0.1698377406
591	0.1693965121
592	0.1689274616
593	0.168552561
594	0.1683772304
595	0.1679708432
596	0.1675624937
597	0.1670916475
598	0.1668081184
599	0.1663402671
600	0.1660031875
601	0.1656594257
602	0.1653427645
603	0.1649941136
604	0.1646922107
605	0.1644171318
606	0.1641928417
607	0.1638587994
608	0.16341268
609	0.1632357675
610	0.1629356269
611	0.162528284
612	0.1622033074
613	0.1618316027
614	0.1614234903
615	0.1611866068
616	0.1608638688
617	0.1604281626
618	0.1601356633
619	0.1597107059
620	0.159271742
621	0.1589265468
622	0.1587119868
623	0.1584143445
624	0.1580445169
625	0.1577079861
626	0.1573423676
627	0.1570655327
628	0.1567738549
629	0.1564951468
630	0.1560296272
631	0.1556190449
632	0.1552886225
633	0.15504954
634	0.1547880967
635	0.1544640423
636	0.1542049452
637	0.1539981098
638	0.1536108129
639	0.1533740176
640	0.1530999887
641	0.1528614261
642	0.1525778624
643	0.1521657749
644	0.1518557793
645	0.1514454591
646	0.1510770661
647	0.1507019136
648	0.1505074572
649	0.1502606298
650	0.1497892212
651	0.1495446616
652	0.1493558304
653	0.149044651
654	0.1487270605
655	0.148408799
656	0.1481965204
657	0.148029777
658	0.1478631667
659	0.1476234942
660	0.1472291087
661	0.1470182234
662	0.1466210769
663	0.1462538815
664	0.1459061628
665	0.1455822392
666	0.1453522175
667	0.1450370072
668	0.1448332234
669	0.1444979234
670	0.1442132911
671	0.1439596911
672	0.1437157933
673	0.1434996624
674	0.1432222081
675	0.1429923225
676	0.1427378195
677	0.1424620733
678	0.1422112445
679	0.1418416074
680	0.1414837095
681	0.1412773238
682	0.1411304426
683	0.1408629563
684	0.1405130482
685	0.1401218081
686	0.1398991589
687	0.1396490426
688	0.1393246787
689	0.1390196731
690	0.1386008071
691	0.1383083226
692	0.1380773899
693	0.1378343126
694	0.1376500711
695	0.1374249592
696	0.1371410498
697	0.1369868946
698	0.1367066162
699	0.1364115252
