logged_at,date,venue,race_no,actual_combo,payout,source
2026-03-29T17:40:31,20260329,丸亀,8,1-2-3,1240.0,manual
2026-03-29T17:43:43,20260329,丸亀,8,1-2-3,1240.0,manual
